name,marke,kategorie,zutaten,energieKj,energieKcal,fett,gesaettigteFettsaueren,kohlenhydrate,zucker,eiweiss,salz,ean,preis,quelleUrl,bildUrl
Thomy Les Sauces Curry Sauce 250ML,"Nestlé Deutschland AG, Baseler Straße 46, 60329 Frankfurt am Main, www.nestle.de",Soßen,"Wasser, SCHLAGSAHNE, Sonnenblumenöl, 3,5% Ananaspüree, Stärke, 2,7% EIGELB, Curry (Kurkuma, SENFKÖRNER, Bockshornklee, Koriander, Kreuzkümmel, WEIZENMEHL, Salz, Chili, Fenchel, Zwiebeln), 1% Bananenpüree, Apfelpulver, Gewürze (Zwiebeln, Ingwer, Kurkuma, Zimt, Koriander, Kreuzkümmel, Chili, Paprika), Tomatenmark, Jodsalz (Salz, Kaliumjodat), Zucker.",623,150,13,3,"7,1","3,5","0,9","0,98",0,1.79,https://www.edeka24.de/Lebensmittel/Sossen/Thomy-Les-Sauces-Curry-Sauce-250ML.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/thomy_les_sauces_curry_sauce_250ml.jpg
"Moselland Riesling Spätlese Fruchtig & Süss 0,75L","Moselland eG Winzergenossenschaft, Bornwiese 6, 54470 Bernkastel-Kues, www.moselland.de",Deutschland,Enthält Sulfite.,,,,,,,,,0,7.99,https://www.edeka24.de/Wein-Spirituosen/Weisswein/Deutschland/Moselland-Riesling-Spaetlese-Fruchtig-Suess-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/moselland_riesling_steillage_spamp228tlese_075l.jpg
Alnatura Bio Apfelmark 700G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Straße 7, 64295 Darmstadt, www.alnatura.de",Konserven,Äpfel* *aus biologischer Landwirtschaft,245,58,"0,5","0,1",12,12,"0,5","0,01",0,1.89,https://www.edeka24.de/Lebensmittel/Konserven/Alnatura-Bio-Apfelmark-700G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alnatura_bio_apfelmark_700g.jpg
Alnatura Bio Baked Beans 360G,"Alnatura Produktions- und Handels GmbH, Mahatma-Gandhi-Straße 7, 64295 Darmstadt, www.alnatura.de",Gemüsekonserven,"Weiße Bohnen* 60%, Tomatensauce* 36% (Wasser und Tomatenmark*zweifach konzentriert 5%), Rohrohrzucker*, Meersalz, Essig*,Maisstärke**aus biologischer Landwirtschaft.",393,93,"0,5","0,1",14,"4,1","5,6","1,1",0,1.89,https://www.edeka24.de/Lebensmittel/Konserven/Gemuesekonserven/Alnatura-Bio-Baked-Beans-360G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/alnatura_bio_baked_beans_360g.jpg
Du darfst Daily Delight Rinderroulade 480G,"Wingert Foods GmbH, Postfach 249 27452 Cuxhaven",Gerichte zum Erhitzen,"Nudelzubereitung, gegart (30%) (Wasser, Hartweizengrieß, Hühnerei, Rapsöl, Verdickungsmittel Guarkernmehl, Emulgator Lecithine, Speisesalz, Antioxidationsmittel (Ascorbinsäure, Natriumascorbat)), Apfelrotkohlzubereitung (20%) (Rotkohl (15%), Wasser, Äpfel (1%), Zucker, Apfelsaftkonzentrat, Stärke, Rapsöl, Speisesalz, Verdickungsmittel Guarkernmehl, Antioxidationsmittel Ascorbinsäure, Gewürze, Branntweinessig, Johannisbeersaftkonzentrat, Säuerungsmittel Citronensäure), Wasser, Rinderroulade (19%) (Rindfleisch (10,6%), Füllung (8,4%) (Schweinefleisch (2,1%), Gewürzgurken (Gurken, Wasser, Branntweinessig, Speisesalz), Zwiebeln, Paniermehl (Weizenmehl, Wasser, Speisesalz, Hefe), Senf (Wasser, Senfsaaten, Speisesalz, Zucker, Branntweinessig, Gewürze), Wasser, Gewürze, Speisesalz, Kartoffelstärke)), Zwiebeln, Senf (Wasser, Senfsaaten, Branntweinessig, Speisesalz, Gewürze), Tomatenmark, Gurken, Stärke, Zucker, Gewürze, Branntweinessig, Rapsöl, Verdickungsmittel Guarkernmehl, karamellisierter Zucker, Sahne, Sambal Oelek (Chili, Paprika, Wasser, Speisesalz), Speisesalz, Sellerieknollenpulver. Das Produkt kann Spuren von SOJA, ERDNÜSSEN, SCHALENFRÜCHTEN und FISCH enthalten.",438,104,"3,3",1,12,"3,9","5,4","0,65",0,3.79,https://www.edeka24.de/Lebensmittel/Fertiggerichte/Gerichte-zum-Erhitzen/Du-darfst-Daily-Delight-Rinderroulade-480G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/du_darfst_daily_delight_rinderroulade_480g.jpg
Ti Bio Pfefferminze & Brombeere 1L,"Teeküche GmbH, Brunnenstraße 1, 61184 Karben",Bio Marken,"Pfefferminztee-Aufguss (Wasser, Pfefferminzblätter*), Zucker, Brombeersaft** (2,3 %), Holunderbeersaft**, Säuerungsmittel Citronensäure, natürliches Aroma. *aus kontrolliert biologischem Anbau **aus Fruchtsaftkonzentrat",65,15,0,0,"3,8","3,5",0,"0,03",0,1.89,https://www.edeka24.de/Bio-Produkte/Bio-Marken/Ti-Bio-Pfefferminze-Brombeere-1L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/ti_pfefferminzeampampbrombeere_1l_dpg.jpg
"Durbacher Dursecco Rosé trocken 0,75L","Durbacher Winzer eG, Nachtweide 2, 77770 Durbach, www.durbacher.de",Sekt-Prosecco,Enthält Sulfite.,,,,,,,,,0,6.79,https://www.edeka24.de/Wein-Spirituosen/Sekt-Prosecco/Durbacher-Dursecco-Ros-trocken-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/durbacherdursecco.jpg
"WG Bötzingen Spätburgunder Rotwein Kabinett 0,75L","Winzergenossenschaft Bötzingen a.K.eG, Hauptstr.13, 79268 Bötzingen, www.der-boetzinger.de",Rotwein,Enthält Sulfite.,,,,,,,,,0,5.79,https://www.edeka24.de/Wein-Spirituosen/Rotwein/WG-Boetzingen-Spaetburgunder-Rotwein-Kabinett-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/wg_btzingen_sptburgunder_rotwein_kabinett_075l.jpg
Erasco 2 Kohlrouladen 800G,"GB Foods Deutschland GmbH, Geniner Straße 88-100, 23560 Lübeck, www.thegbfoods.com",Gerichte zum Erhitzen,"Wasser, 45% angeschmorte Kohlrouladen (51% Weißkohl, 38% Schweinefleisch,  Zwiebeln, Salz, Gewürze, Paniermehl (WEIZENMEHL (GLUTEN), Roggenmehl (GLUTEN), Wasser, Salz, Hefe, Schweinefett)), Tomatenkonzentrat, modifizierte Stärke, Salz, Kochsalzersatz (Kaliumchlorid), WEIZENEMEL (GLUTE), Zucker, Gewürze, Aromen, Hefeextrakt. Kann Spuren von SELLERIE,  SOJA, MILCH, EI, SENF und SESAM  enthalten.",297,71,4,"1,3",4,"1,8","4,2","0,9",0,4.49,https://www.edeka24.de/Lebensmittel/Fertiggerichte/Gerichte-zum-Erhitzen/Erasco-2-Kohlrouladen-800G.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/erasco_2_kohlrouladen_800g(1).jpg
"Oberbergener Baßgeige Weißer Burgunder Kabinett 0,75L","Winzergenossenschaft Oberbergen eG, Badbergstr. 2, 79235 Vogtsburg-Oberbergen, www.bassgeige-wein.de",Weißwein,Enthält Sulfite.,,,,,,,,,0,6.49,https://www.edeka24.de/Wein-Spirituosen/Weisswein/Oberbergener-Bassgeige-Weisser-Burgunder-Kabinett-0-75L.html,https://www.edeka24.de/out/pictures/generated/product/1/400_400_90/oberbergener-weissburgunder-kabinett_neu.jpg
